id,経度,緯度,所在地コード,用途,連番,年次,前年所在地コード,前年用途,前年連番,市区町村名,住居表示,行政,地積,利用の現況,利用状況表示,建物構造,施設,形状区分,間口（比率）,奥行（比率）,階層（地上）,階層（地下）,前面道路区分,前面道路の方位区分,前面道路の幅員,前面道路の駅前区分,前面道路の舗装状況,側道区分,側道方位区分,交通施設との近接区分,周辺の土地の利用の現況,駅名,駅距離,用途区分,防火区分,都市計画区分,森林区分,公園区分,建蔽率,容積率,共通地点区分,選定年次ビット,Ｓ５８価格,Ｓ５９価格,Ｓ６０価格,Ｓ６１価格,Ｓ６２価格,Ｓ６３価格,Ｈ１価格,Ｈ２価格,Ｈ３価格,Ｈ４価格,Ｈ５価格,Ｈ６価格,Ｈ７価格,Ｈ８価格,Ｈ９価格,Ｈ１０価格,Ｈ１１価格,Ｈ１２価格,Ｈ１３価格,Ｈ１４価格,Ｈ１５価格,Ｈ１６価格,Ｈ１７価格,Ｈ１８価格,Ｈ１９価格,Ｈ２０価格,Ｈ２１価格,Ｈ２２価格,Ｈ２３価格,Ｈ２４価格,Ｈ２５価格,Ｈ２６価格,Ｈ２７価格,Ｈ２８価格,Ｈ２９価格,Ｈ３０価格,Ｈ３１価格,属性移動Ｓ５９,属性移動Ｓ６０,属性移動Ｓ６１,属性移動Ｓ６２,属性移動Ｓ６３,属性移動Ｈ１,属性移動Ｈ２,属性移動Ｈ３,属性移動Ｈ４,属性移動Ｈ５,属性移動Ｈ６,属性移動Ｈ７,属性移動Ｈ８,属性移動Ｈ９,属性移動Ｈ１０,属性移動Ｈ１１,属性移動Ｈ１２,属性移動Ｈ１３,属性移動Ｈ１４,属性移動Ｈ１５,属性移動Ｈ１６,属性移動Ｈ１７,属性移動Ｈ１８,属性移動Ｈ１９,属性移動Ｈ２０,属性移動Ｈ２１,属性移動Ｈ２２,属性移動Ｈ２３,属性移動Ｈ２４,属性移動Ｈ２５,属性移動Ｈ２６,属性移動Ｈ２７,属性移動Ｈ２８,属性移動Ｈ２９,属性移動Ｈ３０,属性移動Ｈ３１
749,502227.619,128640.521,13211,0,35,2019,13211,0,35,小平,東京都　小平市花小金井５－１３－９,13211,209,10000000000000000,_,W3,111,_,10,12,3,0,市道,北,60,_,_,_,_,_,中規模の一般住宅が多い区画整然とした住宅地域,花小金井,1300,1低専,_,市街化,_,_,40,80,False,0000000000000000000000000000000000111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,217000,220000,222000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40000000000000,10000000000000,10000000000000
750,502228.411,128397.992,13206,0,27,2019,13206,0,27,東京府中,東京都　府中市白糸台１丁目７２番１５,13206,107,10000000000000000,_,W2,111,台形,10,12,2,0,市道,北東,71,_,_,_,_,_,一般住宅のほかに事業所等も見られる住宅地域,白糸台,200,1中専,準防,市街化,_,_,60,200,False,0000000000000000000000000011111111111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,297000,279000,277000,275000,275000,278000,281000,286000,292000,297000,310000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40000000000000,10000000000000,10000000000000,10000000000000,10000000000000,20000000000000,10000000000000,10000000000000,10000000000000,10000000000000,10000000000000
751,502228.724,128419.98800000001,13206,0,11,2019,13206,0,11,東京府中,東京都　府中市白糸台１丁目４９番１５外,13206,162,10000000000000000,_,LS2,111,_,10,20,2,0,市道,北東,55,_,_,_,_,_,一般住宅、アパート、空地等がみられる住宅地域,多磨霊園,930,2中専,準防,市街化,_,_,60,200,False,1111111111111111111111111111111111111,224000,230000,236000,245000,326000,580000,550000,580000,580000,510000,425000,376000,358000,340000,330000,323000,307000,296000,287000,275000,264000,257000,255000,255000,277000,311000,296000,278000,276000,274000,274000,277000,280000,282000,285000,287000,290000,10000000000000,10000000000000,10000000000000,10000000000000,10000000000000,10000000000000,10000000000011,10000000000000,10000000000000,10000000000000,10000000000000,10000000000000,10000000000000,10000001000000,10000000000000,10000000000000,10000000000000,10000000000000,10000000000000,10000000000000,10001000000000,10000000000000,11100000000000,10000000000000,10000000000000,10000000000000,10001000000000,10000000000000,10000000000000,10000000000000,10000000000000,10000010000000,10000000000000,10000000000000,10000000000000,10000000000000
752,502229.091,128541.189,13210,5,2,2019,13210,5,2,小金井,東京都　小金井市本町３－８－６,13210,230,11000000000000100,共同住宅,S3,111,台形,20,10,3,0,都道,西,160,_,_,_,_,_,店舗、マンション等が混在する近隣商業地域,武蔵小金井,560,近商,防火,市街化,_,_,80,300,True,0000000000000000000001111111111111111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,418000,400000,400000,430000,492000,470000,440000,430000,428000,428000,433000,438000,443000,449000,456000,480000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40000000000000,10000000000000,10000000000000,10000000000000,10000000000000,10000000000000,10000000000000,10000000000000,10000000000000,10000000000000,10000000000000,10000000000000,10000000000000,10000000000000,10000000000000,10000000000000
753,502229.79,128517.39,13210,5,3,2019,13210,5,3,小金井,東京都　小金井市本町１－６－１７,13210,199,11100000000000100,共同住宅,S3,111,_,10,20,3,0,市道,北,73,_,_,_,_,_,店舗、マンション等が混在する近隣商業地域,武蔵小金井,300,近商,準防,市街化,_,_,80,300,False,0000000000000000001111111111111111111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,521000,500000,478000,461000,450000,447000,472000,533000,506000,476000,466000,463000,463000,468000,474000,480000,485000,493000,515000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40000000000000,10000000000000,10000000000010,10000000000000,10000000000000,10000000000000,10000000000000,10000000000000,10000000000000,10000000000000,10000000000000,10000000000000,10100000000000,10000000000000,10000000000000,10000000000000,10000000000000,10000000000000,10000000000000
754,502233.588,128665.8,13222,0,11,2019,13222,0,11,東久留米,東京都　東久留米市前沢５－２９－２１,13222,264,10000000000000000,_,W2,111,_,10,10,2,0,市道,東,60,_,_,_,_,_,中規模一般住宅が多い区画整然とした住宅地域,花小金井,2000,1低専,準防,市街化,_,_,60,150,True,1111111111111111111111111111111111111,226000,232000,237000,243000,340000,627000,549000,536000,536000,490000,384000,364000,364000,341000,327000,317000,293000,245000,234000,218000,207000,197000,191000,188000,195000,209000,195000,187000,183000,181000,180000,184000,186000,187000,188000,191000,193000,10000000000000,10000000000000,10000000000000,10000000000000,10000000000000,10000000000000,10000000000000,10000000000000,10000000000000,10000000000000,10000000000000,10000000000000,10000000000000,10000001000000,10000000000000,10000000000000,10000000000000,10000000000000,10000000000000,10000000000000,10000000000000,10000000000000,10000000000000,10000000000000,10000000000000,10000000000000,10000000000000,10000000000000,10000000000000,10000000000000,10000000000000,10000000000000,10000000000000,10000000000000,10000000000000,10000010000000
755,502233.775,128558.19900000001,13210,0,3,2019,13210,0,3,小金井,東京都　小金井市桜町１－８－１０,13210,126,10000000000000000,_,LS2,111,_,10,10,2,0,市道,南,54,_,_,_,_,_,一般住宅のほかアパート等が見られる住宅地域,武蔵小金井,1100,1低専,_,市街化,_,_,40,80,False,0000000000000000000000000000000000111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,294000,298000,304000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40000000000000,10000000000000,10000000000000
756,502235.05,128727.864,13222,9,1,2019,13222,9,1,東久留米,東京都　東久留米市八幡町１－３－２２,13222,1068,100010000000000,_,S3,101,_,10,15,3,0,市道,北,160,_,_,_,_,_,中小工場、倉庫のほか住宅等が混在する地域,清瀬,2100,準工,準防,市街化,_,_,60,200,False,0000000000000000000000000000000001111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,192000,193000,194000,195000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40000000000000,10000000000000,10000000000000,10000000000000
757,502235.604,128304.554,13225,0,22,2019,13225,0,22,稲城,東京都　稲城市大字東長沼字五号１７１９番７,13225,111,10000000000000000,_,W2,111,_,10,12,2,0,市道,南,50,_,_,_,_,_,一般住宅が建ち並ぶ区画整理済の住宅地域,稲城長沼,1000,2中専,準防,市街化,_,_,50,150,False,0000000000111111111111111111111111111,0,0,0,0,0,0,0,0,0,0,410000,375000,365000,354000,341000,334000,318000,304000,291000,273000,256000,241000,234000,229000,235000,242000,237000,228000,227000,226000,226000,229000,234000,239000,244000,249000,254000,0,0,0,0,0,0,0,0,0,40000000000000,11100000000000,10000000000000,10000000000000,10000001000000,10000000000000,10000000000000,10000000000000,10000000000000,10000000000000,10000000000000,10000000000000,10000000000001,10000000000000,10000000000000,10000000000000,10000000000000,10000000000000,10000000000000,10000000000000,10000000000000,10000000000000,10000000000000,10000000000000,10000000000000,10000000000000,10000000000000
758,502236.209,128821.28,13221,0,2,2019,13221,0,2,清瀬,東京都　清瀬市中里２丁目６４２番２０,13221,212,10000000000000000,_,W2,111,_,10,10,2,0,私道,東,45,_,_,_,_,_,中規模一般住宅の多い分譲住宅地域,秋津,1600,1低専,準防,市街化,_,_,50,100,False,0000000000111111111111111111111111111,0,0,0,0,0,0,0,0,0,0,293000,280000,278000,270000,267000,262000,241000,219000,207000,197000,189000,181000,176000,173000,179000,189000,180000,169000,165000,164000,163000,164000,165000,166000,167000,168000,169000,0,0,0,0,0,0,0,0,0,40000000000000,10000000000000,10000000000000,10000000000000,10000001000000,10000000000000,10000000000000,10000000000000,10000000000000,10000100000000,10000000000000,10000000000000,10000000100011,10000000000000,10000000000000,10000000000000,10000000000000,10000000000000,20000000000000,10000000000000,10000000000000,10000000000000,10000000000000,10000000000000,10000000000000,10000000000000,10000010000000
759,502238.506,128436.25,13206,0,14,2019,13206,0,14,東京府中,東京都　府中市紅葉丘２丁目４番２７,13206,117,10000000000000000,_,W2,111,_,10,20,2,0,市道,東,40,_,_,_,_,_,中小規模一般住宅にアパートも見られる住宅地域,多磨,750,1低専,_,市街化,_,_,40,80,False,0000000000000000000000000111111111111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,271000,258000,243000,241000,239000,239000,242000,244000,247000,250000,253000,256000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40000000000000,10000000000000,10000000000000,10000000000000,10000000000000,10000000000000,10000000000000,10000000000000,10000000000000,10000000000000,10000000000000,10000000000000
760,502239.028,128538.367,13210,0,9,2019,13210,0,9,小金井,東京都　小金井市本町２－１４－８,13210,151,10000000000000000,_,W2F1B,111,_,10,12,2,1,道路,西,40,_,_,_,_,_,一般住宅、アパート等が建ち並ぶ住宅地域,武蔵小金井,770,1中専,準防,市街化,_,_,60,200,False,0000000000000000000001111111111111111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,340000,339000,340000,358000,397000,376000,345000,340000,338000,338000,344000,349000,355000,361000,369000,380000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40000000000000,10000000000000,10000000000000,10000000000000,10000000000000,10000000000000,10000000000000,10000000000000,10001000000000,10000000000000,10000000000000,10000000000000,10000000000000,10000000000000,10000000000000,10000010000000
761,502241.36,128655.04699999999,13211,0,28,2019,13211,0,28,小平,東京都　小平市花小金井４－２４－６,13211,148,10000000000000000,_,W2,111,_,10,15,2,0,私道,東,40,_,_,_,_,_,中小規模一般住宅が建ち並ぶ住宅地域,花小金井,1500,1低専,_,市街化,_,_,40,80,False,0000000000111111111111111111111111111,0,0,0,0,0,0,0,0,0,0,349000,325000,324000,313000,307000,298000,274000,253000,242000,229000,221000,214000,211000,211000,224000,238000,225000,213000,209000,205000,204000,207000,208000,210000,212000,215000,217000,0,0,0,0,0,0,0,0,0,40000000000000,10000000000000,10000000000000,10000000000000,10000001000000,10000000000000,10000000000000,10000000000000,10000000000000,10000000000000,10000000000000,10000000000000,10000000000000,10000000000000,10000000000000,10000000000000,10100000000000,10000000000000,10000000000000,10000000000000,10000000000000,10000000000000,10000000000000,10000000000000,10000000000000,10000000000000,10000000000000
762,502244.44899999996,128398.36099999999,13206,0,43,2019,13206,0,43,東京府中,東京都　府中市白糸台２丁目１３番２８,13206,130,10000000000000000,_,W2,111,_,10,12,2,0,私道,西,45,_,_,_,_,_,一般住宅のほかにアパート等が見られる住宅地域,武蔵野台,420,1低専,_,市街化,_,_,40,80,False,0000000000000000000000000000000001111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,300000,306000,311000,313000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40000000000000,10000000000000,10000000000000,10000000000000
763,502244.69399999996,128617.492,13211,5,7,2019,13211,5,7,小平,東京都　小平市花小金井１－３－２８,13211,231,11000000001000100,診療所,RC4,111,台形,10,20,4,0,市道,南西,55,_,_,背面道,_,_,中低層小売店舗等が建ち並ぶ駅北側の商業地域,花小金井,170,近商,準防,市街化,_,_,80,300,False,0000000000000000000111111111111111111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,414000,395000,380000,374000,378000,404000,434000,411000,386000,374000,367000,365000,369000,371000,374000,378000,383000,388000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40000000000000,10000000000010,10000000000000,10000000000000,10000000000000,10000000000000,10000000000000,10000000000000,10010000000000,10000000000000,10000000000000,10000000000000,10000000000000,10000000000000,10000000000000,10000000000000,10000000000000,10000000000000
764,502245.328,128327.695,13225,0,4,2019,13225,0,4,稲城,東京都　稲城市大字押立字中関７６３番１,13225,112,10000000000000000,_,W2,111,台形,10,12,2,0,市道,東,53,_,_,_,_,_,小規模一般住宅の中に農地が見られる住宅地域,矢野口,1000,1低専,_,市街化,_,_,40,80,False,1111111111111111111111111111111111111,176000,181000,185000,192000,232000,425000,397000,397000,397000,370000,328000,302000,295000,286000,279000,274000,262000,252000,242000,225000,212000,200000,193000,189000,193000,201000,196000,189000,188000,187000,187000,190000,195000,201000,208000,216000,226000,10000000000000,10000000000000,10100000000000,10000000000000,10000000000000,10000000000000,10000000000000,10000000000000,10000000000000,10000100000000,10000000000000,10000000000000,10000000000000,10000001000000,10000000000000,10000000000000,10000000000000,10000000000000,10000000000000,10000000000000,10000000000000,10000000000000,10000000000000,10000000000000,10000000000000,10000000000000,10000000000000,10000000000000,10000000000000,10000000000000,10000010000000,10000000000000,10000000000000,10000000000000,10000000000000,10000000000000
765,502245.745,128716.222,13222,0,3,2019,13222,0,3,東久留米,東京都　東久留米市八幡町２－１１－５９,13222,146,10000000000000000,_,W2,111,_,15,10,2,0,市道,南,60,_,_,_,_,_,一般住宅のほかアパート等が見られる住宅地域,東久留米,2200,1中専,準防,市街化,_,_,60,200,False,1111111111111111111111111111111111111,193000,197000,201000,207000,263000,485000,430000,418000,420000,383000,314000,298000,298000,287000,282000,276000,254000,221000,215000,206000,196000,187000,183000,181000,189000,204000,193000,184000,180000,178000,177000,181000,182000,183000,185000,187000,189000,10000000000000,10000000000000,10000010000000,10000000000000,10000000000000,10000000000000,10000000000000,10000000000000,10000000000000,10000000000000,10000000000000,10000000000000,10000000000000,10000001000000,10000000000000,10000000000000,10000000000000,10000000000000,10000000000000,10000000000000,10000000000000,10000000000000,10000000000000,10000000000000,10000000000000,10000000000000,10000000000000,10000000000000,10000000000000,10000000000000,10000000000000,10000000000000,10000000000000,10000000000000,10000000000000,10000000000000
766,502246.148,128288.07,13225,0,3,2019,13225,0,3,稲城,東京都　稲城市大字矢野口字根方２６５３番１,13225,134,10000000000000000,_,W1,111,台形,15,10,1,0,市道,北,60,_,_,_,_,_,一般住宅のほかにアパート等が見られる住宅地域,京王よみうりランド,630,1低専,_,市街化,_,_,40,80,False,0001111111111111111111111111111111111,0,0,0,212000,235000,430000,405000,405000,405000,377000,335000,307000,300000,292000,288000,283000,271000,260000,249000,236000,223000,210000,204000,201000,206000,213000,208000,200000,199000,198000,198000,200000,203000,207000,212000,218000,228000,0,0,40000000000000,10000000000000,10000000000000,10000010000000,10000000000000,10000000000000,10000000000000,10000000000000,10000000000000,10000000000000,10000100000000,10000001000011,10000000000000,10000000000000,10000000000000,10000000000000,10000000000000,10000000000000,10000000000000,10000000000000,10000000000000,10000000000000,10000000000000,10000000000000,10000000000000,10000100000000,10000000000000,10000000000000,10000000000000,10000000000000,10000000000000,10000000000000,10000000000000,10000000000000
767,502249.814,128606.62800000001,13211,5,2,2019,13211,5,2,小平,東京都　小平市花小金井南町１－１３－２０,13211,84,11000000000000000,_,S3,111,_,10,30,3,0,市道,東,90,_,_,_,_,_,店舗付共同住宅の多い駅南側の商業地域,花小金井,350,商業,防火,市街化,_,_,80,400,True,0000000001111111111111111111111111111,0,0,0,0,0,0,0,0,0,1320000,1020000,866000,785000,691000,640000,600000,528000,470000,437000,410000,390000,374000,363000,357000,379000,405000,383000,359000,347000,339000,337000,341000,343000,346000,351000,356000,361000,0,0,0,0,0,0,0,0,40000000000000,10000000000000,10000000000000,10000000000000,10000000000000,10000000000000,10000000000000,10000000000000,10000000000000,10000000000000,10000000000000,10000000000000,10000000000010,10000000000000,10000000000000,10000000000000,10000000000000,10000000000000,10000000000000,10000000000000,10000000000000,10000000000000,10000000000000,10000000000000,10000000000000,10000000000000,10000000000000,10000000000000
768,502250.263,128516.064,13210,0,8,2019,13210,0,8,小金井,東京都　小金井市中町３－１４－１５,13210,181,10000000000000000,_,W2,111,_,10,15,2,0,市道,西,50,_,_,_,_,_,一般住宅のほかにアパート等も見られる住宅地域,武蔵小金井,900,1低専,準防,市街化,_,_,50,100,True,0000000000000000000000111111111111111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,317000,317000,342000,380000,355000,330000,326000,323000,323000,328000,333000,340000,345000,353000,366000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40000000000000,10000000000000,10000000000000,10000000000000,10000000000000,10000000000000,10000000000000,10000000000000,10000000000000,10000000000000,10000000000000,10000000000000,10000000000000,10000000000000,10000000000000
769,502252.56,128805.239,13221,0,14,2019,13221,0,14,清瀬,東京都　清瀬市中里１丁目７２１番３３,13221,113,10000000000000000,_,W2,111,_,10,12,2,0,市道,東,50,_,_,_,_,_,中小規模の一般住宅が建ち並ぶ住宅地域,清瀬,1100,1低専,準防,市街化,_,_,50,100,False,0000000000001111111111111111111111111,0,0,0,0,0,0,0,0,0,0,0,0,322000,310000,304000,294000,267000,238000,225000,215000,205000,196000,191000,189000,197000,207000,196000,186000,182000,180000,180000,182000,184000,185000,187000,189000,190000,0,0,0,0,0,0,0,0,0,0,0,40000000000000,10000000000000,10000001000000,10000000000000,10000000000000,10000000000000,10000000000000,10000000000000,10000000000000,10000000000000,20000000100011,10000000000000,10000000000000,10000000000000,10000000000000,10000000000000,10000000000000,10000000000000,10000000000000,10000000000000,10000000000000,10000000000000,10000000000000,10000000000000,10000010000000
770,502253.91,128697.68699999999,13222,5,4,2019,13222,5,4,東久留米,東京都　東久留米市中央町５－１３－２８,13222,661,1000000000000000,_,S2,111,台形,10,10,2,0,都道,西,160,_,_,_,_,_,店舗、共同住宅等が見られる都道沿いの商業地域,東久留米,2200,2中専,準防,市街化,_,_,60,200,False,0000000000000000000000000000000000111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,195000,198000,200000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40000000000000,10000000000000,10000000000000
771,502254.593,128617.59800000001,13211,0,4,2019,13211,0,4,小平,東京都　小平市花小金井１－１５－１０,13211,240,10000000000000000,_,W2,111,_,10,12,2,0,市道,東,40,_,_,_,_,_,一般住宅のほかアパート等が見られる住宅地域,花小金井,300,1中専,準防,市街化,_,_,60,200,True,1111111111111111111111111111111111111,241000,246000,251000,257000,364000,693000,665000,648000,648000,581000,458000,426000,424000,403000,393000,378000,345000,318000,305000,292000,287000,284000,283000,286000,308000,334000,316000,296000,292000,287000,287000,293000,296000,299000,304000,309000,313000,10000100000000,10000000000000,10000000000000,10000000000000,10000000000000,10000000000000,10000100000000,10000000000000,10000000000000,10000000000000,10000000000000,10000000000000,10000000000000,10000001000000,10000000000000,10000000000000,10011000000000,10011000000000,10000000000000,10000000000000,10000000000000,10000000000000,10000000000000,10000000000000,10000000000000,10000000000000,10000000000000,10000000000000,10000000000000,10000000000000,10000000000000,10000000000000,10000000000000,10000000000000,10000000000000,10000010000000
772,502254.994,128430.68,13206,0,19,2019,13206,0,19,東京府中,東京都　府中市紅葉丘３丁目３１番８,13206,104,10000000000000000,_,W2,111,_,10,15,2,0,私道,南西,40,_,_,_,_,_,小規模一般住宅が建ち並ぶ住宅地域,多磨,350,1低専,_,市街化,_,_,40,80,False,0000000000111111111111111111111111111,0,0,0,0,0,0,0,0,0,0,405000,358000,340000,322000,313000,306000,294000,284000,275000,265000,255000,249000,247000,247000,267000,298000,284000,268000,265000,264000,263000,266000,269000,271000,273000,275000,279000,0,0,0,0,0,0,0,0,0,40000000000000,10000000000000,10000000000000,10000000000000,10000001000000,10000000000000,10000000000000,10000000000000,10000000000000,10000000000000,10000000000000,10000000000000,10000000000000,10000000000000,10000000000000,10000000000000,10000000000000,10000000000000,10000000000000,10000000000000,10000000000000,20000000000000,10000000000000,10000000000000,10000000000000,10000000000000,10000000000000
773,502255.138,128792.534,13221,0,6,2019,13221,0,6,清瀬,東京都　清瀬市元町２－１３－５,13221,133,10000000000000000,_,W2,111,_,10,12,2,0,市道,南東,40,_,_,_,_,_,小規模一般住宅が建ち並ぶ住宅地域,清瀬,750,1低専,準防,市街化,_,_,50,100,False,1111111111111111111111111111111111111,212000,218000,223000,229000,289000,560000,520000,501000,501000,466000,369000,343000,341000,328000,320000,309000,281000,262000,248000,240000,233000,226000,221000,220000,231000,246000,232000,220000,216000,214000,214000,218000,220000,221000,223000,226000,228000,10000000000000,10000000000000,10000000000000,10000000000000,10000100000000,10000000000000,10000000000000,10000000000000,10000000000000,10000000000000,10000000000000,10000000000000,10000000000000,10000001100011,10000000000000,10000000000000,10000000000000,10000000000000,10000000000000,10000000000000,10000000000000,10000000000000,10000000000000,10000000000000,10000000000000,10000000000000,10000000000000,10000000000000,10000000000000,10000000000000,10000000000000,10000000000000,10000000000000,10000000000000,10000000000000,10000010000000
774,502255.343,128368.84300000001,13206,0,31,2019,13206,0,31,東京府中,東京都　府中市押立町２丁目２３番４０外,13206,122,10000000000000000,_,W2,111,台形,15,10,2,0,市道,南,45,_,_,_,_,_,小規模一般住宅が建ち並ぶ住宅地域,武蔵野台,1100,1低専,_,市街化,_,_,40,80,False,0000000000111111111111111111111111111,0,0,0,0,0,0,0,0,0,0,390000,345000,330000,315000,306000,300000,287000,278000,271000,261000,252000,242000,239000,238000,256000,280000,265000,249000,247000,245000,244000,247000,250000,252000,254000,256000,258000,0,0,0,0,0,0,0,0,0,40000000000000,10000000000000,10000000000000,10000000000000,10000001000000,10000000000000,10000000000000,10000000000000,10000000000000,10000000000000,10000000000000,10000000000000,10000000000000,10000100000000,10000000000000,10000000000000,10000000000000,10000000000000,10000000000000,10000010000000,10000000000000,20000000000000,10000000000000,10000000000000,10000000000000,10000000000000,10000010000000
775,502255.53,128415.51699999999,13206,0,33,2019,13206,0,33,東京府中,東京都　府中市朝日町１丁目８番８,13206,171,10000000000000000,_,W2,111,_,10,12,2,0,市道,北西,40,_,_,_,_,_,中規模住宅が建ち並ぶ区画整然とした住宅地域,多磨,800,1低専,_,市街化,_,_,40,80,False,0000000000111111111111111111111111111,0,0,0,0,0,0,0,0,0,0,410000,358000,344000,328000,320000,312000,297000,286000,277000,264000,253000,246000,244000,244000,264000,299000,284000,267000,265000,263000,262000,265000,267000,270000,272000,274000,277000,0,0,0,0,0,0,0,0,0,40000000000000,10000000000000,10000000000000,10000000000000,10000001000000,10000000000000,10000000000000,10000000000000,10000000000000,10000000000000,10000000000000,10000000000000,10000000000000,10000000000000,10000000000000,10000000000000,10000000000000,10000000000000,10000000000000,10000000000000,10000000000000,20000000000000,10000000000000,10000000000000,10000000000000,10000000000000,10000000000000
776,502256.00200000004,128533.98,13210,0,17,2019,13210,0,17,小金井,東京都　小金井市緑町５－１７－２,13210,225,10000000000000100,共同住宅,W2,111,_,10,20,2,0,私道,東,43,_,_,_,_,_,アパートのほか一般住宅も見られる住宅地域,武蔵小金井,1100,1中専,準防,市街化,_,_,60,200,False,0000000000000000000000000000000001111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,315000,320000,325000,331000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40000000000000,10000000000000,10000000000000,10000000000000
777,502256.33,128779.13900000001,13221,0,1,2019,13221,0,1,清瀬,東京都　清瀬市松山２－８－６,13221,173,10000000000000000,_,LS2,111,_,10,12,2,0,市道,南東,63,_,_,_,_,_,一般住宅にマンションが混在する住宅地域,清瀬,460,1中専,準防,市街化,_,_,60,200,True,0000111111111111111111111111111111111,0,0,0,0,360000,677000,629000,604000,604000,560000,449000,414000,410000,393000,369000,355000,321000,297000,290000,278000,272000,266000,262000,261000,277000,298000,280000,266000,262000,261000,261000,267000,269000,270000,273000,276000,278000,0,0,0,40000000000000,10000000000000,10000000000000,10000000000000,10000000000000,10000000000000,10000000000000,10000000000000,10000000000000,10000000000000,10000001000000,10000000000000,10000001000000,10000000000000,10000000000000,10000000000000,10000000000000,10000000000000,10000000000000,11000000000000,10000000000000,10000000000000,10000000000000,10001000000000,10000000000000,10000000000000,10000000000000,10000000000000,10000000000000,10000000000000,10000000000000,10000000000000,10000000000000
778,502259.533,128549.819,13210,0,12,2019,13210,0,12,小金井,東京都　小金井市緑町４－１５－１２,13210,165,10000000000000000,_,W2,111,_,10,12,2,0,市道,北,50,_,_,_,_,_,中規模一般住宅が建ち並ぶ閑静な住宅地域,東小金井,1300,1低専,_,市街化,_,_,40,80,False,0000000000000000000001111111111111111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,290000,285000,285000,298000,335000,318000,300000,293000,291000,291000,295000,298000,301000,305000,310000,318000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40000000000000,10000000000000,10000000000000,10000000000000,20000000000000,10000000000000,10000000000000,20000000000000,10000000000000,10000000000000,10000000000000,10000000000000,10000000000000,10000000000000,10000000000000,10000010000000
